,doc_sentiments,documents,zone_sentiments
1134,4.361208920187793,"[""Sen. Elizabeth Warren's oldest brother dies from COVID-19 complications"", 'Sen. Elizabeth Warren said her oldest brother died Tuesday from COVID-19 complications in Norman', ' Oklahoma. He was 86.']","[2.5070422535211265, 1.8541666666666667, 0]"
1135,-3.8507091660342354,"['Celeste Williams picks up Sen. Elizabeth Warren endorsement', 'Celeste Williams', "" a Democratic candidate for U.S. Congress in Arkansas' 3rd District"", "" has been endorsed by Sen. Elizabeth Warren's newly formed organization ...""]","[-2.8813559322033897, 0, 0.5373134328358209, -1.5066666666666668]"
1136,-3.0120217383375283,"['Elizabeth Warren endorses Kara Eastman in 2nd District House race', 'Warren', ' who earned the third most delegates in the 2020 Democratic presidential primary before dropping out last month', ' encouraged 2nd District voters to ...']","[-1.1846153846153846, 0, 0.22522522522522523, -2.052631578947369]"
1137,0.3599439775910364,"['Biden donors privately float big names', ' including Elizabeth Warren and Larry Fink', ' for key roles', ""Joe Biden's top donors are privately discussing some big names who could serve as policy advisors in his campaign or the White House if he can defeat ...""]","[0, 0.5952380952380952, 0, -0.23529411764705882]"
1138,0.564219406324669,"['AOC and Elizabeth Warren call for a freeze on big mergers as the coronavirus crisis unfolds', 'The coronavirus pandemic has paralyzed the global economy', ' but large tech companies remain relatively well-positioned to reach into their deep pockets to ...']","[0.8901098901098901, 2.017543859649123, -2.343434343434344]"
1139,0.739437751004016,"['What would Warren do?', 'Sen. Elizabeth Warren (D-Mass.) will not be the next president of the United States', "" and that's a damn shame. Her brand of leadership is exactly what these ...""]","[0, 0.1927710843373494, 0.5466666666666666]"
1140,0.16129032258064516,"['Would Biden want Warren for VP? Don’t count on it.', 'Joe Biden has repeatedly said he wants a running mate who will be “simpatico” on matters of policy and strategy. That rules out the senior senator from ...']","[0, 0.16129032258064516]"
1141,0.29357798165137616,"['Elizabeth Warren', ' How John Bolton Blew Off Senators Who Asked About Global Pandemics', 'The coronavirus is a rapidly developing news story', ' so some of the *content* in this article might be out of date. Check out our most recent coverage of the ...']","[0, 0, 0.0, 0.29357798165137616]"
1142,-0.01565217391304352,"['Buffalo ICU nurse gets surprise phone call from Elizabeth Warren', ""The call Wednesday came through Kyle Brown's phone"", ' like the previous time', ' as No Caller ID. Elizabeth Warren', ' the senior U.S. senator from Massachusetts ...']","[0, 0.6799999999999999, -0.6956521739130435, 0, 0]"
1143,0.134053949717705,"['Veepstakes Is On — And Warren Wants To Be A Contender', 'Plus', ' Rep. Richard Neal says', ' ""there\'s going to have to be more money for the unemployment insurance system"" in the next coronavirus relief package.']","[-0.6792452830188679, 0, 0.6956521739130435, 0.11764705882352944]"
1144,-0.8193912011683093,"['House passes $484B relief package', "" Trump wonders about 'injection' of disinfectant"", 'Sen. Elizabeth Warren', ' D-Mass.', ' said Thursday that her oldest brother died earlier this week from the coronavirus.']","[-0.06060606060606055, -1.7708333333333333, 0, 0, 1.0120481927710845]"
1145,1.6339563862928346,"['Elizabeth Warren’s plan to end mask and supply shortages in the coronavirus pandemic', 'The Democratic lawmakers want the government to take responsibility for manufacturing coronavirus supplies.']","[1.1666666666666665, 0.46728971962616817]"
1146,-2.034357349497176,"[""Obama touts Elizabeth Warren's coronavirus recovery proposals"", 'Former President Barack Obama on Monday offered high praise for Sen. Elizabeth Warren', "" endorsing the former presidential candidate's extensive framework ...""]","[-0.7704918032786885, -0.23529411764705882, -1.0285714285714287]"
1147,0.3540489642184558,"['Elizabeth Warren calls on Uber Eats', ' Instacart', ' others to classify workers as employees', 'Senator Elizabeth Warren is calling on food delivery apps like Uber Eats', ' which have seen a surge in business because of coronavirus', ' to reclassify their ...']","[0, 0, 0.0, -0.2222222222222222, 0.576271186440678, 0]"
1148,-0.16117216117216127,"['Sen. Elizabeth Warren Endorses Joe Biden', ' Says She Would Serve as Vice President', 'Massachusetts senator and former presidential candidate Elizabeth Warren has endorsed Joe Biden for president. Senator Warren made the announcement in ...']","[0, 0.41025641025641024, -0.5714285714285715]"
1149,1.2216117216117217,"['Polls Show Democratic Voters Favor Warren For Vice President', ""Among the women believed to be leading candidates for Joe Biden's running mate"", ' Sen. Elizabeth Warren is the most popular with Democratic voters', ' according ...']","[0.26666666666666666, -0.07692307692307684, -0.7538461538461538, 1.7857142857142856]"
1150,0.8531746031746033,"['Congress', ' Elizabeth Warren’s plan to protect stimulus checks and give debt relief', 'Congress has an opportunity to go big in the next coronavirus package', ' including protecting people from being crushed by debt.']","[0, -0.48611111111111116, 0.0, 1.3392857142857144]"
1151,-0.2156862745098037,"['Trump says Sanders lost because of Elizabeth Warren', ""President Trump blamed Bernie Sanders' Democratic primary dropout on progressive Sen. Elizabeth Warren"", ' saying if not for her', ' the Vermont senator would ...']","[0.3137254901960784, -0.5294117647058821, 0, 0]"
1152,0.38932266250243996,"[""Elizabeth Warren Has Three Big Tips for Monitoring Trump's $500 Billion Coronavirus Slush Fund"", 'The coronavirus is a rapidly developing news story', ' so some of the *content* in this article might be out of date. Check out our most recent coverage of the ...']","[0.09574468085106383, 0.0, 0.29357798165137616]"
1153,0.102112676056338,"['Did Gender Keep Democratic Women From Winning The Presidential Primary?', 'Elizabeth Warren has now fully thrown her support behind former Vice President Joe Biden in the presidential race. She has even said', ' without question', ' that ...']","[0.352112676056338, -0.25, 0, 0]"
1154,-1.301981981981982,"['Elizabeth Warren Joins Restaurant Workers to Demand Paid Sick Leave and PPE', 'As states begin to reopen restaurants', ' many food sector employees still lack adequate protections.']","[0.21333333333333335, 1.3513513513513513, -2.8666666666666667]"
1155,1.481180273172766,"['Child care', ' Elizabeth Warren has a plan to fix the coronavirus child care crisis', ""The coronavirus pandemic could destroy America's child care system. Sens. Elizabeth Warren and Tina Smith have a $50 billion plan for that.""]","[0, 0.8840579710144927, 0.5971223021582733]"
